"city","voivodeship","lat","lon","population","historical_score","cultural_score","poi_count"
"Warsaw","Masovian",52.23,21.011111111,1862402,9,9,950
"Kraków","Lesser Poland",50.061388888,19.937222222,804237,10,10,1200
"Wrocław","Lower Silesian",51.11,17.0325,673531,8,9,520
"Łódź","Łódź",51.75,19.466666666,648711,7,8,450
"Poznań","Greater Poland",52.408333333,16.933611111,546859,8,8,430
"Gdańsk","Pomeranian",54.3482907,18.6540233,487834,9,9,620
"Szczecin","West Pomeranian",53.424722222,14.555277777,387700,7,7,310
"Lublin","Lublin",51.25,22.566666666,334681,8,8,260
"Bydgoszcz","Kuyavian-Pomeranian",53.116666666,18,324984,6,6,200
"Białystok","Podlaskie",53.132355821,23.168672448,290386,6,6,180
"Katowice","Silesian",50.25,19,278090,6,7,280
"Gdynia","Pomeranian",54.5175,18.54,245222,5,6,180
"Częstochowa","Silesian",50.80964,19.12217,204730,8,7,160
"Radom","Masovian",51.416666666,21.15,201601,6,5,100
"Toruń","województwo pomorskie",53.016666666,18.616666666,198273,10,8,380
"Rzeszów","Podkarpackie",50.041111111,21.998888888,195871,6,6,110
"Kielce","Świętokrzyskie",50.8725,20.631944444,186894,6,6,130
"Sosnowiec","Silesian",50.2711,19.1946,185930,4,4,371
"Gliwice","Silesian",50.294166666,18.665833333,174016,4,4,348
"Olsztyn","Warmian-Masurian",53.78,20.494166666,170225,6,6,120
"Bielsko-Biała","Silesian",49.8225,19.044444444,165127,5,5,100
"Zabrze","Silesian",50.3,18.783333333,156935,4,4,313
"Bytom","Silesian",50.347,18.923,153274,4,4,306
"Zielona Góra","Lubusz",51.939722222,15.505,140002,5,5,65
"Ruda Śląska","Silesian",50.27006,18.87424,133793,4,4,267
"Rybnik","Silesian",50.083333333,18.5,133772,4,4,267
"Opole","Opole",50.666666666,17.924166666,127387,7,6,100
"Tychy","Silesian",50.123611111,18.986666666,124882,4,4,249
"Gorzów Wielkopolski","Lubusz",52.733333333,15.25,119964,5,5,60
"Elbląg","Warmian-Masurian",54.152222222,19.408888888,115220,7,5,80
"Płock","Masovian",52.55,19.7,114594,7,6,75
"Dąbrowa Górnicza","Silesian",50.3308692,19.2078918,112876,4,4,225
"Koszalin","West Pomeranian",54.190277777,16.181666666,105883,4,4,211
"Włocławek","Kuyavian-Pomeranian",52.65,19.05,104705,4,4,209
"Wałbrzych","Lower Silesian",50.766666666,16.283333333,104401,6,6,65
"Chorzów","Silesian",50.3,18.95,104193,4,4,208
"Tarnów","Lesser Poland",50.0125,20.988333333,101614,7,6,90
"Kalisz","Greater Poland",51.757,18.083,95905,8,5,60
"Legnica","Lower Silesian",51.21006,16.1619,94878,7,5,65
"Grudziądz","Kuyavian-Pomeranian",53.4875,18.755,90890,4,3,181
"Słupsk","Pomeranian",54.466666666,17.033333333,87660,4,3,175
"Jaworzno","Silesian",50.2,19.275,86812,4,3,173
"Jastrzębie-Zdrój","Silesian",49.95,18.583333333,82788,4,3,165
"Nowy Sącz","Lesser Poland",49.625,20.695555555,81281,6,6,70
"Jelenia Góra","Lower Silesian",50.9,15.733333333,77305,6,6,55
"Siedlce","Masovian",52.183333333,22.283333333,76357,4,3,152
"Myslowice, Silesian Voivodeship","Silesian",50.211944444,19.147777777,72553,4,3,145
"Piła","Piła",53.15,16.733333333,71735,4,3,143
"Konin","Greater Poland",52.2275,18.261388888,69858,4,3,139
"Suwałki","Podlaskie",54.1,22.933333333,69229,5,4,25
"Piotrków Trybunalski","Łódź",51.4,19.683333333,68978,7,5,50
"Siemianowice Śląskie","Silesian",50.31231,19.0232,63657,4,3,127
"Żory","Silesian",50.045,18.700555555,61823,4,3,123
