"name","voivodeship","lat","lon","population","historical_score","cultural_score","poi_count"
"Krakow","Malopolskie",50.0647,19.945,800000,10,10,1200
"Warsaw","Mazowieckie",52.2297,21.0122,1800000,9,9,950
"Gdansk","Pomorskie",54.352,18.6466,470000,9,9,620
"Wroclaw","Dolnoslaskie",51.1079,17.0385,640000,8,9,520
"Poznan","Wielkopolskie",52.4064,16.9252,540000,8,8,430
"Torun","Kujawsko-Pomorskie",53.0138,18.5984,200000,10,8,380
"Zakopane","Malopolskie",49.2992,19.9496,27000,5,9,280
"Malbork","Pomorskie",54.0359,19.0283,38000,10,7,150
"Zamosc","Lubelskie",50.7231,23.2522,64000,10,8,120
"Kazimierz Dolny","Lubelskie",51.319,21.954,3500,9,9,90
"Wieliczka","Malopolskie",49.9873,20.0648,23000,9,8,110
"Oswiecim","Malopolskie",50.0343,19.2097,38000,10,6,80
"Sandomierz","Swietokrzyskie",50.6827,21.7489,24000,9,8,85
"Gniezno","Wielkopolskie",52.5348,17.5963,69000,10,7,95
"Lodz","Lodzkie",51.7592,19.456,680000,7,8,450
"Katowice","Slaskie",50.2649,19.0238,300000,6,7,280
"Szczecin","Zachodniopomorskie",53.4285,14.5528,400000,7,7,310
"Lublin","Lubelskie",51.2465,22.5684,340000,8,8,260
"Bialystok","Podlaskie",53.1325,23.1688,300000,6,6,180
"Kielce","Swietokrzyskie",50.8661,20.6286,195000,6,6,130
"Olsztyn","Warminsko-Mazurskie",53.7784,20.4801,170000,6,6,120
"Rzeszow","Podkarpackie",50.0412,22.0047,195000,6,6,110
"Opole","Opolskie",50.6751,17.9213,130000,7,6,100
"Czestochowa","Slaskie",50.8118,19.1203,220000,8,7,160
"Bydgoszcz","Kujawsko-Pomorskie",53.1235,18.0084,345000,6,6,200
"Gorzow Wielkopolski","Lubuskie",52.7325,15.2282,124000,5,5,60
"Zielona Gora","Lubuskie",51.9356,15.5062,140000,5,5,65
"Radom","Mazowieckie",51.4027,21.1471,210000,6,5,100
"Sopot","Pomorskie",54.4418,18.5601,37000,5,8,150
"Gdynia","Pomorskie",54.5189,18.5305,250000,5,6,180
"Elblag","Warminsko-Mazurskie",54.1522,19.4045,120000,7,5,80
"Plock","Mazowieckie",52.5463,19.7065,120000,7,6,75
"Tarnow","Malopolskie",50.0121,20.9858,110000,7,6,90
"Nowy Sacz","Malopolskie",49.6238,20.6971,84000,6,6,70
"Legnica","Dolnoslaskie",51.207,16.1619,100000,7,5,65
"Swidnica","Dolnoslaskie",50.8427,16.488,58000,7,6,55
"Bielsko-Biala","Slaskie",49.8224,19.0444,170000,5,5,100
"Cieszyn","Slaskie",49.7511,18.6326,35000,7,7,50
"Przemysl","Podkarpackie",49.7838,22.7678,61000,8,7,70
"Piotrkow Trybunalski","Lodzkie",51.4053,19.7033,75000,7,5,50
"Chelm","Lubelskie",51.1431,23.4716,63000,6,5,40
"Kalisz","Wielkopolskie",51.7611,18.0912,100000,8,5,60
"Jelenia Gora","Dolnoslaskie",50.9044,15.7199,80000,6,6,55
"Walbrzych","Dolnoslaskie",50.7714,16.2844,112000,6,6,65
"Nysa","Opolskie",50.4738,17.3342,44000,7,5,35
"Klodzko","Dolnoslaskie",50.4345,16.6613,27000,7,6,40
"Ustka","Pomorskie",54.5805,16.8617,16000,4,5,25
"Leba","Pomorskie",54.7589,17.559,3800,4,5,20
"Kolobrzeg","Zachodniopomorskie",54.1759,15.5762,47000,6,5,40
"Swinoujscie","Zachodniopomorskie",53.9106,14.2473,41000,5,5,35
"Szklarska Poreba","Dolnoslaskie",50.8271,15.521,7000,4,6,30
"Kudowa-Zdroj","Dolnoslaskie",50.443,16.243,10000,4,5,20
"Augustow","Podlaskie",53.8446,22.9808,30000,5,5,30
"Suwalki","Podlaskie",54.1118,22.9308,69000,5,4,25
"Frombork","Warminsko-Mazurskie",54.357,19.6802,2400,9,6,45
"Lidzbark Warminski","Warminsko-Mazurskie",54.1258,20.5777,16000,7,5,30
"Paczkow","Opolskie",50.4615,16.9788,7500,7,6,25
"Chelmno","Kujawsko-Pomorskie",53.3493,18.4258,20000,8,6,40
