city,country,lat,lon,iata,rail_code,population,voivodeship,historical_score,cultural_score,poi_count
Warsaw,PL,52.2297,21.0122,WAW,WAW,1793579,Mazowieckie,9,9,950
Krakow,PL,50.0647,19.9450,KRK,KRK,779115,Malopolskie,10,10,1200
Lodz,PL,51.7592,19.4560,LCJ,LDZ,672185,Lodzkie,7,8,450
Wroclaw,PL,51.1079,17.0385,WRO,WRO,672929,Dolnoslaskie,8,9,520
Poznan,PL,52.4064,16.9252,POZ,POZ,538633,Wielkopolskie,8,8,430
Gdansk,PL,54.3520,18.6466,GDN,GDN,470907,Pomorskie,9,9,620
Szczecin,PL,53.4285,14.5528,SZZ,SZN,401907,Zachodniopomorskie,7,7,310
Bydgoszcz,PL,53.1235,18.0084,BZG,BYD,346739,Kujawsko-Pomorskie,6,6,200
Lublin,PL,51.2465,22.5684,LUZ,LUB,338586,Lubelskie,8,8,260
Bialystok,PL,53.1325,23.1688,NA,BIA,297554,Podlaskie,6,6,180
Katowice,PL,50.2649,19.0238,KTW,KAT,290553,Slaskie,6,7,280
Gdynia,PL,54.5189,18.5305,NA,GDY,246309,Pomorskie,5,6,180
Czestochowa,PL,50.8118,19.1203,NA,CZE,217535,Slaskie,8,7,160
Radom,PL,51.4027,21.1471,RDO,RAD,210303,Mazowieckie,6,5,100
Sosnowiec,PL,50.2862,19.1041,NA,SOS,196804,Slaskie,5,5,80
Torun,PL,53.0138,18.5984,NA,TOR,196935,Kujawsko-Pomorskie,10,8,380
Kielce,PL,50.8661,20.6286,NA,KIE,193415,Swietokrzyskie,6,6,130
Gliwice,PL,50.2945,18.6714,NA,GLI,178603,Slaskie,5,6,90
Zabrze,PL,50.3249,18.7857,NA,ZAB,170348,Slaskie,4,5,70
Olsztyn,PL,53.7784,20.4801,SZY,OLS,170904,Warminsko-Mazurskie,6,6,120
Rzeszow,PL,50.0412,22.0047,RZE,RZE,195000,Podkarpackie,6,6,110
Opole,PL,50.6751,17.9213,NA,OPO,130000,Opolskie,7,6,100
Zakopane,PL,49.2992,19.9496,NA,NA,27000,Malopolskie,5,9,280
Malbork,PL,54.0359,19.0283,NA,NA,38000,Pomorskie,10,7,150
Zamosc,PL,50.7231,23.2522,NA,NA,64000,Lubelskie,10,8,120
Kazimierz Dolny,PL,51.319,21.954,NA,NA,3500,Lubelskie,9,9,90
Wieliczka,PL,49.9873,20.0648,NA,NA,23000,Malopolskie,9,8,110
Oswiecim,PL,50.0343,19.2097,NA,NA,38000,Malopolskie,10,6,80
Sandomierz,PL,50.6827,21.7489,NA,NA,24000,Swietokrzyskie,9,8,85
Gniezno,PL,52.5348,17.5963,NA,NA,69000,Wielkopolskie,10,7,95
Sopot,PL,54.4418,18.5601,NA,NA,37000,Pomorskie,5,8,150
Elblag,PL,54.1522,19.4045,NA,NA,120000,Warminsko-Mazurskie,7,5,80
Plock,PL,52.5463,19.7065,NA,NA,120000,Mazowieckie,7,6,75
Tarnow,PL,50.0121,20.9858,NA,NA,110000,Malopolskie,7,6,90
Nowy Sacz,PL,49.6238,20.6971,NA,NA,84000,Malopolskie,6,6,70
Legnica,PL,51.207,16.1619,NA,NA,100000,Dolnoslaskie,7,5,65
Swidnica,PL,50.8427,16.488,NA,NA,58000,Dolnoslaskie,7,6,55
Bielsko-Biala,PL,49.8224,19.0444,NA,NA,170000,Slaskie,5,5,100
Cieszyn,PL,49.7511,18.6326,NA,NA,35000,Slaskie,7,7,50
Przemysl,PL,49.7838,22.7678,NA,NA,61000,Podkarpackie,8,7,70
Piotrkow Trybunalski,PL,51.4053,19.7033,NA,NA,75000,Lodzkie,7,5,50
Chelm,PL,51.1431,23.4716,NA,NA,63000,Lubelskie,6,5,40
Kalisz,PL,51.7611,18.0912,NA,NA,100000,Wielkopolskie,8,5,60
Jelenia Gora,PL,50.9044,15.7199,NA,NA,80000,Dolnoslaskie,6,6,55
Walbrzych,PL,50.7714,16.2844,NA,NA,112000,Dolnoslaskie,6,6,65
Nysa,PL,50.4738,17.3342,NA,NA,44000,Opolskie,7,5,35
Klodzko,PL,50.4345,16.6613,NA,NA,27000,Dolnoslaskie,7,6,40
Kolobrzeg,PL,54.1759,15.5762,NA,NA,47000,Zachodniopomorskie,6,5,40
Swinoujscie,PL,53.9106,14.2473,NA,NA,41000,Zachodniopomorskie,5,5,35
Augustow,PL,53.8446,22.9808,NA,NA,30000,Podlaskie,5,5,30
Suwalki,PL,54.1118,22.9308,NA,NA,69000,Podlaskie,5,4,25
Frombork,PL,54.357,19.6802,NA,NA,2400,Warminsko-Mazurskie,9,6,45
Chelmno,PL,53.3493,18.4258,NA,NA,20000,Kujawsko-Pomorskie,8,6,40
Gorzow Wielkopolski,PL,52.7325,15.2282,NA,NA,124000,Lubuskie,5,5,60
Zielona Gora,PL,51.9356,15.5062,NA,NA,140000,Lubuskie,5,5,65
